"term","estimate","std.error","statistic","p.value","Team","p_adjusted"
"LocationHome",0.153356163969153,1.0591062809672,0.144797709847499,0.884870590446865,"Brentford",0.983189544940961
"LocationHome",3.64682570874804,2.35452784049957,1.54885648239958,0.121416224134895,"Man United",0.864520553927716
"LocationHome",0.315904194728923,1.73488057463326,0.182089879469486,0.8555121909735,"Burnley",0.983189544940961
"LocationHome",-0.401116048920443,1.21631359253895,-0.329780125274395,0.741566105785034,"Chelsea",0.983189544940961
"LocationHome",0.94003411319241,1.18869344784735,0.790812900411588,0.429053180798729,"Everton",0.953451512886065
"LocationHome",1.18529054087765,1.03146143611997,1.14913703932193,0.250499477457817,"Leicester",0.953451512886065
"LocationHome",-2.59671548318496,1.30911110604061,-1.98357150222236,0.0473036287299662,"Watford",0.864520553927716
"LocationHome",0.711224082121648,1.15420440372499,0.616202883844751,0.537760625348301,"Norwich",0.983189544940961
"LocationHome",1.03481346803548,2.3074548992533,0.448465306242973,0.653817419300937,"Newcastle",0.983189544940961
"LocationHome",-2.62086723022707,1.72952005631071,-1.51537255706518,0.129678083089157,"Tottenham",0.864520553927716
"LocationHome",98.0371934191038,92282.6385988675,0.00106235793544277,0.999152361164705,"Liverpool",0.999152361164705
"LocationHome",2.03252597885915,1.56195556254506,1.30127004096541,0.193166038169947,"Aston Villa",0.953451512886065
"LocationHome",0.812537937340621,0.92132853938237,0.881919860949191,0.377820145937088,"Crystal Palace",0.953451512886065
"LocationHome",-0.244486377187411,1.09869177742829,-0.222524990365979,0.823905221400237,"Leeds",0.983189544940961
"LocationHome",-0.0625334731900924,2.1581352212494,-0.0289756974328468,0.976883973093275,"Man City",0.999152361164705
"LocationHome",-1.46073500299958,1.81139943831257,-0.806412419096442,0.420005088454872,"Brighton",0.953451512886065
"LocationHome",1.08483290181906,1.08512472933099,0.99973106546736,0.317440673931058,"Southampton",0.953451512886065
"LocationHome",0.713957563352499,1.24182239608488,0.574927272694879,0.565340484220416,"Wolves",0.983189544940961
"LocationHome",0.61536418239022,1.19516637485875,0.514877422369706,0.606638678829248,"Arsenal",0.983189544940961
"LocationHome",-0.269892005687222,1.23941189275538,-0.217758121625908,0.827617575615824,"West Ham",0.983189544940961
